id,type,token,location,code
207,BINARYOPERATOR,"=",Freckles.java(46:20-46:115),"matrix[i][j] = calc(coordinates[i][0], coordinates[j][0], coordinates[i][1], coordinates[j][1])"
208,ARRAYSUBSCRIPTIONEXPRESSION,"",Freckles.java(46:6-46:15),"matrix[j]"
209,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(46:16-46:17),"i"
210,DECLAREDREFERENCEEXPRESSION,"Freckles",Freckles.java(46:20-46:26),"Freckles"
211,MEMBEREXPRESSION,"matrix",Freckles.java(46:6-46:12),"matrix"
212,DECLAREDREFERENCEEXPRESSION,"j",Freckles.java(46:13-46:14),"j"
213,ARRAYSUBSCRIPTIONEXPRESSION,"",Freckles.java(46:20-46:32),"matrix[i][j]"
214,CALLEXPRESSION,"calc",Freckles.java(46:35-46:115),"calc(coordinates[i][0], coordinates[j][0], coordinates[i][1], coordinates[j][1])"
215,METHODDECLARATION,"calc",,""
216,ARRAYSUBSCRIPTIONEXPRESSION,"",Freckles.java(46:40-46:57),"coordinates[i][0]"
217,ARRAYSUBSCRIPTIONEXPRESSION,"",Freckles.java(46:59-46:76),"coordinates[j][0]"
218,ARRAYSUBSCRIPTIONEXPRESSION,"",Freckles.java(46:78-46:95),"coordinates[i][1]"
219,ARRAYSUBSCRIPTIONEXPRESSION,"",Freckles.java(46:97-46:114),"coordinates[j][1]"
220,ARRAYSUBSCRIPTIONEXPRESSION,"",Freckles.java(46:40-46:54),"coordinates[i]"
221,LITERAL,"",Freckles.java(46:55-46:56),"0"
222,PARAMVARIABLEDECLARATION,"double0",,""
223,DECLAREDREFERENCEEXPRESSION,"coordinates",Freckles.java(46:59-46:70),"coordinates"
224,DECLAREDREFERENCEEXPRESSION,"coordinates",Freckles.java(46:40-46:51),"coordinates"
225,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(46:52-46:53),"i"
226,ARRAYSUBSCRIPTIONEXPRESSION,"",Freckles.java(46:78-46:92),"coordinates[i]"
227,LITERAL,"",Freckles.java(46:93-46:94),"1"
228,PARAMVARIABLEDECLARATION,"double2",,""
229,DECLAREDREFERENCEEXPRESSION,"coordinates",Freckles.java(46:97-46:108),"coordinates"
230,DECLAREDREFERENCEEXPRESSION,"coordinates",Freckles.java(46:78-46:89),"coordinates"
231,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(46:90-46:91),"i"
232,ARRAYSUBSCRIPTIONEXPRESSION,"",Freckles.java(46:59-46:73),"coordinates[j]"
233,LITERAL,"",Freckles.java(46:74-46:75),"0"
234,PARAMVARIABLEDECLARATION,"double1",,""
235,DECLAREDREFERENCEEXPRESSION,"j",Freckles.java(46:71-46:72),"j"
236,ARRAYSUBSCRIPTIONEXPRESSION,"",Freckles.java(46:97-46:111),"coordinates[j]"
237,LITERAL,"",Freckles.java(46:112-46:113),"1"
238,PARAMVARIABLEDECLARATION,"double3",,""
239,DECLAREDREFERENCEEXPRESSION,"j",Freckles.java(46:109-46:110),"j"
240,ARRAYSUBSCRIPTIONEXPRESSION,"",Freckles.java(46:20-46:29),"matrix[i]"
241,DECLAREDREFERENCEEXPRESSION,"j",Freckles.java(46:30-46:31),"j"
242,MEMBEREXPRESSION,"matrix",Freckles.java(46:20-46:26),"matrix"
243,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(46:27-46:28),"i"
244,DECLAREDREFERENCEEXPRESSION,"j",Freckles.java(45:11-45:12),"j"
245,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(43:18-43:19),"i"
246,DECLAREDREFERENCEEXPRESSION,"n",Freckles.java(43:20-43:21),"n"
247,BINARYOPERATOR,"=",Freckles.java(23:11-23:27),"q = in.nextInt()"
248,MEMBEREXPRESSION,"q",Freckles.java(23:11-23:12),"q"
249,MEMBERCALLEXPRESSION,"nextInt",Freckles.java(23:15-23:27),"in.nextInt()"
250,DECLAREDREFERENCEEXPRESSION,"nextInt",Freckles.java(23:18-23:25),"nextInt"
251,DECLAREDREFERENCEEXPRESSION,"in",Freckles.java(23:15-23:17),"in"
252,DECLAREDREFERENCEEXPRESSION,"Freckles",Freckles.java(23:11-23:12),"Freckles"
253,DECLAREDREFERENCEEXPRESSION,"Freckles",Freckles.java(25:3-25:9),"Freckles"
254,LITERAL,"",Freckles.java(36:15-36:16),"0"
255,ARRAYCREATIONEXPRESSION,"",Freckles.java(33:28-33:44),"new double[n][2]"
256,DECLAREDREFERENCEEXPRESSION,"n",Freckles.java(33:39-33:40),"n"
257,LITERAL,"",Freckles.java(33:42-33:43),"2"
258,MEMBEREXPRESSION,"pred",Freckles.java(31:3-31:7),"pred"
259,ARRAYCREATIONEXPRESSION,"",Freckles.java(31:10-31:20),"new int[n]"
260,DECLAREDREFERENCEEXPRESSION,"Freckles",Freckles.java(31:3-31:7),"Freckles"
261,DECLAREDREFERENCEEXPRESSION,"n",Freckles.java(31:18-31:19),"n"
262,MEMBEREXPRESSION,"dist",Freckles.java(29:3-29:7),"dist"
263,ARRAYCREATIONEXPRESSION,"",Freckles.java(29:10-29:23),"new double[n]"
264,DECLAREDREFERENCEEXPRESSION,"Freckles",Freckles.java(29:3-29:7),"Freckles"
265,DECLAREDREFERENCEEXPRESSION,"n",Freckles.java(29:21-29:22),"n"
266,LITERAL,"",Freckles.java(59:14-59:15),"0"
267,COMPOUNDSTATEMENT,"",Freckles.java(36:27-41:4),"{
			double x = in.nextDouble();
			double y = in.nextDouble();
			coordinates[i][0] = x;
			coordinates[i][1] = y;
		}"
268,DECLARATIONSTATEMENT,"",Freckles.java(36:7-36:16),"int i = 0"
269,BINARYOPERATOR,"<",Freckles.java(36:18-36:21),"i<n"
270,UNARYOPERATOR,"++",Freckles.java(36:23-36:26),"i++"
271,VARIABLEDECLARATION,"i",Freckles.java(36:11-36:16),"i = 0"
272,DECLAREDREFERENCEEXPRESSION,"in",Freckles.java(37:15-37:17),"in"
273,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(36:18-36:19),"i"
274,DECLARATIONSTATEMENT,"",Freckles.java(37:4-37:31),"double x = in.nextDouble();"
275,DECLARATIONSTATEMENT,"",Freckles.java(38:4-38:31),"double y = in.nextDouble();"
276,BINARYOPERATOR,"=",Freckles.java(39:4-39:26),"coordinates[i][0] = x;"
277,BINARYOPERATOR,"=",Freckles.java(40:4-40:26),"coordinates[i][1] = y;"
278,VARIABLEDECLARATION,"x",Freckles.java(37:11-37:30),"x = in.nextDouble()"
279,VARIABLEDECLARATION,"y",Freckles.java(38:11-38:30),"y = in.nextDouble()"
280,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(36:23-36:24),"i"
281,MEMBERCALLEXPRESSION,"nextDouble",Freckles.java(37:15-37:30),"in.nextDouble()"
282,DECLAREDREFERENCEEXPRESSION,"nextDouble",Freckles.java(37:18-37:28),"nextDouble"
283,MEMBERCALLEXPRESSION,"nextDouble",Freckles.java(38:15-38:30),"in.nextDouble()"
284,DECLAREDREFERENCEEXPRESSION,"nextDouble",Freckles.java(38:18-38:28),"nextDouble"
285,DECLAREDREFERENCEEXPRESSION,"in",Freckles.java(38:15-38:17),"in"
286,ARRAYSUBSCRIPTIONEXPRESSION,"",Freckles.java(39:4-39:21),"coordinates[i][0]"
287,DECLAREDREFERENCEEXPRESSION,"x",Freckles.java(39:24-39:25),"x"
288,DECLAREDREFERENCEEXPRESSION,"coordinates",Freckles.java(40:4-40:15),"coordinates"
289,ARRAYSUBSCRIPTIONEXPRESSION,"",Freckles.java(39:4-39:18),"coordinates[i]"
290,LITERAL,"",Freckles.java(39:19-39:20),"0"
291,DECLAREDREFERENCEEXPRESSION,"coordinates",Freckles.java(39:4-39:15),"coordinates"
292,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(39:16-39:17),"i"
293,ARRAYSUBSCRIPTIONEXPRESSION,"",Freckles.java(40:4-40:21),"coordinates[i][1]"
294,DECLAREDREFERENCEEXPRESSION,"y",Freckles.java(40:24-40:25),"y"
295,ARRAYSUBSCRIPTIONEXPRESSION,"",Freckles.java(40:4-40:18),"coordinates[i]"
296,LITERAL,"",Freckles.java(40:19-40:20),"1"
297,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(40:16-40:17),"i"
298,DECLAREDREFERENCEEXPRESSION,"n",Freckles.java(36:20-36:21),"n"
299,METHODDECLARATION,"prim",,""
300,MEMBEREXPRESSION,"matrix",Freckles.java(53:8-53:14),"matrix"
301,LITERAL,"",Freckles.java(53:16-53:17),"0"
302,PARAMVARIABLEDECLARATION,"int1",,""
303,PARAMVARIABLEDECLARATION,"doublePtrPtr0",,""
304,DECLAREDREFERENCEEXPRESSION,"printf",Freckles.java(64:14-64:20),"printf"
305,DECLAREDREFERENCEEXPRESSION,"sum",Freckles.java(64:42-64:45),"sum"
306,LITERAL,"",Freckles.java(64:32-64:40),"""%.2f\n"""
307,MEMBEREXPRESSION,"US",Freckles.java(64:21-64:30),"Locale.US"
308,MEMBEREXPRESSION,"out",Freckles.java(64:3-64:13),"System.out"
309,DECLAREDREFERENCEEXPRESSION,"System",Freckles.java(64:3-64:9),"System"
310,DECLAREDREFERENCEEXPRESSION,"Locale",Freckles.java(64:21-64:27),"Locale"
311,MEMBEREXPRESSION,"matrix",Freckles.java(25:3-25:9),"matrix"
312,ARRAYCREATIONEXPRESSION,"",Freckles.java(25:12-25:28),"new double[n][n]"
313,DECLAREDREFERENCEEXPRESSION,"Freckles",Freckles.java(27:3-27:10),"Freckles"
314,DECLAREDREFERENCEEXPRESSION,"n",Freckles.java(25:23-25:24),"n"
315,DECLAREDREFERENCEEXPRESSION,"n",Freckles.java(25:26-25:27),"n"
316,COMPOUNDSTATEMENT,"",Freckles.java(60:25-63:4),"{
			sum+=dist[i];
			// System.out.println(sum);
		}"
317,DECLARATIONSTATEMENT,"",Freckles.java(60:7-60:14),"int i=0"
318,BINARYOPERATOR,"<",Freckles.java(60:16-60:19),"i<n"
319,UNARYOPERATOR,"++",Freckles.java(60:21-60:24),"i++"
320,VARIABLEDECLARATION,"i",Freckles.java(60:11-60:14),"i=0"
321,DECLAREDREFERENCEEXPRESSION,"sum",Freckles.java(61:4-61:7),"sum"
322,BINARYOPERATOR,"+=",Freckles.java(61:4-61:17),"sum+=dist[i];"
323,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(60:21-60:22),"i"
324,ARRAYSUBSCRIPTIONEXPRESSION,"",Freckles.java(61:9-61:16),"dist[i]"
325,MEMBEREXPRESSION,"dist",Freckles.java(61:9-61:13),"dist"
326,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(61:14-61:15),"i"
327,DECLAREDREFERENCEEXPRESSION,"Freckles",Freckles.java(61:9-61:13),"Freckles"
328,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(60:16-60:17),"i"
329,DECLAREDREFERENCEEXPRESSION,"n",Freckles.java(60:18-60:19),"n"
330,MEMBEREXPRESSION,"visited",Freckles.java(27:3-27:10),"visited"
331,ARRAYCREATIONEXPRESSION,"",Freckles.java(27:13-27:30),"new boolean[n][n]"
332,DECLAREDREFERENCEEXPRESSION,"n",Freckles.java(27:25-27:26),"n"
333,DECLAREDREFERENCEEXPRESSION,"n",Freckles.java(27:28-27:29),"n"
334,VARIABLEDECLARATION,"this",,""
335,COMPOUNDSTATEMENT,"",Freckles.java(114:51-142:3),"{

		// for(Integer i: graph){
		// 	System.out.println();
		// 	System.out.println(""graph ""+i);
		// }


		double min = Double.MAX_VALUE;
		int index =0;

		for(Integer i: graph){
			
				if(dist[i]<min){
					index = i;
					min = dist[i];
					// System.out.println(min+"" min"");
				}
			
			
		}

		

		// System.out.println(""min ""+min+"" ""+index);
		// graph[no][index]=0;
		graph.remove(new Integer(index));
		return index;
	}"
336,PARAMVARIABLEDECLARATION,"graph",Freckles.java(114:25-114:50),"LinkedList<Integer> graph"
337,DECLAREDREFERENCEEXPRESSION,"Double",Freckles.java(122:16-122:22),"Double"
338,RETURNSTATEMENT,"",Freckles.java(141:3-141:16),"return index;"
339,DECLARATIONSTATEMENT,"",Freckles.java(122:3-122:33),"double min = Double.MAX_VALUE;"
340,DECLARATIONSTATEMENT,"",Freckles.java(123:3-123:16),"int index =0;"
341,FOREACHSTATEMENT,"",Freckles.java(125:3-134:4),"for(Integer i: graph){
			
				if(dist[i]<min){
					index = i;
					min = dist[i];
					// System.out.println(min+"" min"");
				}
			
			
		}"
342,MEMBERCALLEXPRESSION,"remove",Freckles.java(140:3-140:36),"graph.remove(new Integer(index));"
343,VARIABLEDECLARATION,"min",Freckles.java(122:10-122:32),"min = Double.MAX_VALUE"
344,VARIABLEDECLARATION,"index",Freckles.java(123:7-123:15),"index =0"
345,DECLAREDREFERENCEEXPRESSION,"index",Freckles.java(141:10-141:15),"index"
346,LITERAL,"",Freckles.java(123:14-123:15),"0"
347,DECLAREDREFERENCEEXPRESSION,"remove",Freckles.java(140:9-140:15),"remove"
348,NEWEXPRESSION,"",Freckles.java(140:16-140:34),"new Integer(index)"
349,CONSTRUCTEXPRESSION,"",Freckles.java(140:16-140:34),"new Integer(index)"
350,DECLAREDREFERENCEEXPRESSION,"index",Freckles.java(140:28-140:33),"index"
351,DECLAREDREFERENCEEXPRESSION,"graph",Freckles.java(140:3-140:8),"graph"
352,MEMBEREXPRESSION,"MAX_VALUE",Freckles.java(122:16-122:32),"Double.MAX_VALUE"
353,DECLARATIONSTATEMENT,"",Freckles.java(125:7-125:16),"Integer i"
354,DECLAREDREFERENCEEXPRESSION,"graph",Freckles.java(125:18-125:23),"graph"
355,COMPOUNDSTATEMENT,"",Freckles.java(125:24-134:4),"{
			
				if(dist[i]<min){
					index = i;
					min = dist[i];
					// System.out.println(min+"" min"");
				}
			
			
		}"
356,VARIABLEDECLARATION,"i",Freckles.java(125:15-125:16),"i"
357,DECLAREDREFERENCEEXPRESSION,"Freckles",Freckles.java(127:8-127:12),"Freckles"
358,IFSTATEMENT,"",Freckles.java(127:5-131:6),"if(dist[i]<min){
					index = i;
					min = dist[i];
					// System.out.println(min+"" min"");
				}"
359,COMPOUNDSTATEMENT,"",Freckles.java(127:20-131:6),"{
					index = i;
					min = dist[i];
					// System.out.println(min+"" min"");
				}"
360,BINARYOPERATOR,"<",Freckles.java(127:8-127:19),"dist[i]<min"
361,DECLAREDREFERENCEEXPRESSION,"index",Freckles.java(128:6-128:11),"index"
362,ARRAYSUBSCRIPTIONEXPRESSION,"",Freckles.java(127:8-127:15),"dist[i]"
363,DECLAREDREFERENCEEXPRESSION,"min",Freckles.java(127:16-127:19),"min"
364,MEMBEREXPRESSION,"dist",Freckles.java(127:8-127:12),"dist"
365,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(127:13-127:14),"i"
366,BINARYOPERATOR,"=",Freckles.java(128:6-128:16),"index = i;"
367,BINARYOPERATOR,"=",Freckles.java(129:6-129:20),"min = dist[i];"
368,DECLAREDREFERENCEEXPRESSION,"min",Freckles.java(129:6-129:9),"min"
369,ARRAYSUBSCRIPTIONEXPRESSION,"",Freckles.java(129:12-129:19),"dist[i]"
370,DECLAREDREFERENCEEXPRESSION,"Freckles",Freckles.java(129:12-129:16),"Freckles"
371,MEMBEREXPRESSION,"dist",Freckles.java(129:12-129:16),"dist"
372,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(129:17-129:18),"i"
373,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(128:14-128:15),"i"
374,UNINITIALIZEDVALUE,"Uninitialized Value",,""
375,VARIABLEDECLARATION,"this",,""
376,COMPOUNDSTATEMENT,"",Freckles.java(144:29-165:3),"{
		// System.out.println();
		// for(int i=0; i<q; i++){
		// 	for(int j=0; j<q; j++){
		// 		System.out.print(matrix[i][j]+"" "");
		// 	}
		// 	System.out.println();
		// }
		// System.out.println();


		for(int i=0; i<q; i++){
			System.out.print(dist[i]+"" "");
		}
		System.out.println();
		
		for(int i=0; i<q; i++){
			System.out.print(pred[i]+"" "");
		}
	

	}"
377,LITERAL,"",Freckles.java(155:13-155:14),"0"
378,RETURNSTATEMENT,"",,""
379,FORSTATEMENT,"",Freckles.java(155:3-157:4),"for(int i=0; i<q; i++){
			System.out.print(dist[i]+"" "");
		}"
380,MEMBERCALLEXPRESSION,"println",Freckles.java(158:3-158:24),"System.out.println();"
381,FORSTATEMENT,"",Freckles.java(160:3-162:4),"for(int i=0; i<q; i++){
			System.out.print(pred[i]+"" "");
		}"
382,COMPOUNDSTATEMENT,"",Freckles.java(155:25-157:4),"{
			System.out.print(dist[i]+"" "");
		}"
383,DECLARATIONSTATEMENT,"",Freckles.java(155:7-155:14),"int i=0"
384,BINARYOPERATOR,"<",Freckles.java(155:16-155:19),"i<q"
385,UNARYOPERATOR,"++",Freckles.java(155:21-155:24),"i++"
386,VARIABLEDECLARATION,"i",Freckles.java(155:11-155:14),"i=0"
387,DECLAREDREFERENCEEXPRESSION,"System",Freckles.java(156:4-156:10),"System"
388,DECLAREDREFERENCEEXPRESSION,"System",Freckles.java(158:3-158:9),"System"
389,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(155:16-155:17),"i"
390,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(155:21-155:22),"i"
391,MEMBERCALLEXPRESSION,"print",Freckles.java(156:4-156:34),"System.out.print(dist[i]+"" "");"
392,DECLAREDREFERENCEEXPRESSION,"print",Freckles.java(156:15-156:20),"print"
393,BINARYOPERATOR,"+",Freckles.java(156:21-156:32),"dist[i]+"" """
394,ARRAYSUBSCRIPTIONEXPRESSION,"",Freckles.java(156:21-156:28),"dist[i]"
395,LITERAL,"",Freckles.java(156:29-156:32),""" """
396,MEMBEREXPRESSION,"dist",Freckles.java(156:21-156:25),"dist"
397,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(156:26-156:27),"i"
398,DECLAREDREFERENCEEXPRESSION,"Freckles",Freckles.java(156:21-156:25),"Freckles"
399,MEMBEREXPRESSION,"out",Freckles.java(156:4-156:14),"System.out"
400,MEMBEREXPRESSION,"q",Freckles.java(155:18-155:19),"q"
401,DECLAREDREFERENCEEXPRESSION,"Freckles",Freckles.java(155:18-155:19),"Freckles"
402,COMPOUNDSTATEMENT,"",Freckles.java(160:25-162:4),"{
			System.out.print(pred[i]+"" "");
		}"
403,DECLARATIONSTATEMENT,"",Freckles.java(160:7-160:14),"int i=0"
404,BINARYOPERATOR,"<",Freckles.java(160:16-160:19),"i<q"
405,UNARYOPERATOR,"++",Freckles.java(160:21-160:24),"i++"
406,VARIABLEDECLARATION,"i",Freckles.java(160:11-160:14),"i=0"
407,DECLAREDREFERENCEEXPRESSION,"System",Freckles.java(161:4-161:10),"System"
408,LITERAL,"",Freckles.java(160:13-160:14),"0"
409,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(160:16-160:17),"i"
410,MEMBERCALLEXPRESSION,"print",Freckles.java(161:4-161:34),"System.out.print(pred[i]+"" "");"
411,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(160:21-160:22),"i"
412,DECLAREDREFERENCEEXPRESSION,"print",Freckles.java(161:15-161:20),"print"
413,BINARYOPERATOR,"+",Freckles.java(161:21-161:32),"pred[i]+"" """
414,MEMBEREXPRESSION,"out",Freckles.java(161:4-161:14),"System.out"
415,DECLAREDREFERENCEEXPRESSION,"Freckles",Freckles.java(161:21-161:25),"Freckles"
416,ARRAYSUBSCRIPTIONEXPRESSION,"",Freckles.java(161:21-161:28),"pred[i]"
417,LITERAL,"",Freckles.java(161:29-161:32),""" """
418,MEMBEREXPRESSION,"pred",Freckles.java(161:21-161:25),"pred"
419,DECLAREDREFERENCEEXPRESSION,"i",Freckles.java(161:26-161:27),"i"
420,MEMBEREXPRESSION,"q",Freckles.java(160:18-160:19),"q"
421,DECLAREDREFERENCEEXPRESSION,"Freckles",Freckles.java(160:18-160:19),"Freckles"
422,DECLAREDREFERENCEEXPRESSION,"println",Freckles.java(158:14-158:21),"println"
423,MEMBEREXPRESSION,"out",Freckles.java(158:3-158:13),"System.out"
